,ID,1_num,1_score,1_mark,2_num,2_score,2_mark,3_num,3_score,3_mark,imp,group1,group2,group3,group4,imp_check
365,sm12908050,90.0,0.88870982134011,1.0,449.0,0.8955524944438908,1.0,285.0,0.901810279502536,1.0,0,6,0,3,1,1
366,sm29435180,304.0,0.991609195924302,1.0,368.0,1.0233656822239616,0.0,278.0,1.074867804570221,0.0,1,3,4,3,0,1
367,sm8938000,47.0,0.8456264861446752,1.0,315.0,0.8713541960874881,1.0,104.0,0.9318622762835972,1.0,3,3,0,3,4,1
368,sm27043710,271.0,0.8113700256797552,1.0,420.0,0.8552608379716552,1.0,425.0,0.8597550952159759,1.0,0,5,1,2,2,1
369,sm14930333,197.0,0.8403458894121579,1.0,230.0,0.898318129862476,1.0,311.0,0.9050918587117514,1.0,0,6,1,2,1,1
370,sm19028880,437.0,0.9257642995923114,1.0,109.0,0.9756701664934604,1.0,265.0,0.9757869730533224,1.0,1,3,6,0,1,1
371,sm14961420,360.0,0.918954921564071,1.0,262.0,0.9824041841786793,1.0,50.0,1.0080838482130363,1.0,2,0,2,7,1,1
372,sm26325360,328.0,0.6845734878647152,1.0,227.0,0.7630999544548588,1.0,333.0,0.8599423748296516,1.0,2,2,1,6,1,1
373,sm28589350,35.0,0.5780501287856208,1.0,279.0,0.5878354144641217,1.0,429.0,0.6232125696526796,1.0,0,0,0,0,0,0
374,sm5804510,348.0,0.7877949038883899,1.0,228.0,0.8663478186620313,1.0,98.0,0.9747773227937756,1.0,0,5,3,2,0,1
375,sm4214377,136.0,0.8762984297059021,1.0,387.0,0.959107735261408,1.0,194.0,0.9631864792046008,1.0,1,1,5,2,2,1
376,sm24842310,66.0,0.6202763518552187,1.0,137.0,0.7619913080088708,1.0,451.0,0.7723275443100686,1.0,0,7,0,2,1,1
377,sm21585451,76.0,0.9677252669516486,1.0,486.0,1.0250543005249646,1.0,497.0,1.048345354841346,1.0,0,7,2,1,0,1
378,sm1579140,238.0,0.8467102643846159,1.0,166.0,0.857041645376734,1.0,198.0,0.9097247782814426,1.0,1,2,6,2,0,1
379,sm31642420,186.0,0.6916848184442942,1.0,327.0,0.8190732214979541,1.0,238.0,0.8211247544268265,0.0,2,1,2,7,0,1
380,sm31808640,340.0,0.9337349503902704,1.0,134.0,0.9764999338841291,1.0,426.0,1.008279298318096,1.0,2,0,4,5,1,1
381,sm27466660,88.0,0.8884793334869291,1.0,279.0,0.9338883446945349,1.0,243.0,0.9710300857510912,1.0,0,7,3,0,0,1
382,sm7289181,144.0,0.4328018210975269,1.0,22.0,0.8079028935616518,1.0,264.0,0.8145471339993585,1.0,2,4,1,5,0,1
383,sm31700140,426.0,0.7105028866339353,1.0,421.0,0.8498491827646902,1.0,385.0,0.9355209457432468,1.0,3,0,4,1,5,1
384,sm28104000,373.0,0.7098954732527882,1.0,279.0,0.7372623555372114,1.0,429.0,0.7907593658775989,1.0,0,0,0,0,0,0
385,sm8228650,134.0,0.8750606852519242,1.0,138.0,0.8882875818099082,1.0,39.0,0.8908077821049192,1.0,1,0,4,2,4,1
386,sm18942090,295.0,0.6284512146927957,1.0,441.0,0.8131087983551515,1.0,82.0,0.8240755118779245,1.0,0,0,0,0,0,0
387,sm3200040,136.0,0.9338244276730976,1.0,316.0,0.956580454143506,1.0,375.0,0.959107735261408,1.0,2,0,3,6,1,1
388,sm17923118,494.0,0.827682433450316,1.0,459.0,0.8562816867906876,1.0,179.0,0.9052128742777938,1.0,0,5,2,3,0,1
389,sm8025400,317.0,1.0380500193331568,0.0,482.0,1.046599557986433,1.0,59.0,1.0497949151148498,0.0,0,6,2,2,0,1
390,sm21513190,258.0,0.9208477116382728,1.0,327.0,0.9243261441100838,1.0,398.0,0.92875380748436,0.0,1,3,5,2,0,1
391,sm23261650,479.0,0.7672924898922961,1.0,283.0,0.8759913324803202,1.0,149.0,0.9272361005346031,1.0,2,2,3,5,0,1
392,sm3884025,498.0,0.8192271211649302,1.0,244.0,0.8590140887649143,1.0,495.0,0.9131538603874184,1.0,2,2,1,6,1,1
393,sm29876900,141.0,0.93849485934534,1.0,175.0,0.9578051366032844,1.0,382.0,0.9698072090162916,1.0,1,2,7,0,1,1
394,sm2310110,350.0,0.9927334050403976,1.0,329.0,1.040207261408308,1.0,341.0,1.0402196893221192,0.0,2,2,3,4,1,1
395,sm10533990,47.0,0.7537984126509477,1.0,270.0,0.9412031794700207,1.0,401.0,0.9436345129002928,1.0,0,5,1,2,2,1
396,sm27140340,268.0,0.9012014780552644,1.0,235.0,0.9211577019766536,1.0,121.0,0.9250989265117282,1.0,0,5,1,1,3,1
397,sm6696570,314.0,0.8967482237615644,1.0,399.0,0.9199454841388236,1.0,284.0,0.9506239715906308,1.0,0,5,1,2,2,1
398,sm23985500,327.0,0.7167600262623227,1.0,402.0,0.8185147980156443,1.0,335.0,0.8250019261506885,1.0,2,2,1,7,0,1
399,sm25306420,314.0,0.8630851187555483,1.0,289.0,0.8799805678732217,1.0,14.0,0.908917543732671,1.0,0,6,2,2,0,1
400,so27083910,145.0,1.0048333005185566,1.0,406.0,1.0076744518716931,0.0,368.0,1.0106083720142365,1.0,0,5,0,1,4,1
401,sm26159430,260.0,0.7707295127928809,1.0,315.0,0.842331663091973,1.0,95.0,0.8611483881344365,1.0,0,5,0,2,3,1
402,sm18631620,13.0,0.7163837205068018,0.0,206.0,0.7396175307684607,1.0,398.0,0.8185147980156443,1.0,2,0,2,7,1,1
403,sm12374084,128.0,0.9911237177550768,1.0,381.0,0.997216644306443,0.0,31.0,1.0412837884309667,0.0,0,0,0,0,0,0
404,sm10889370,238.0,0.9435009908023472,1.0,468.0,1.0182233630987374,1.0,426.0,1.0223208233769856,0.0,3,0,1,2,7,1
405,sm24523100,139.0,0.5816701543150039,1.0,207.0,0.7539461369682049,1.0,103.0,0.911561547967086,0.0,1,2,7,1,0,1
406,sm14926860,206.0,0.7267668529130119,1.0,59.0,0.7416259097507095,1.0,457.0,0.851392369752118,1.0,2,3,2,5,0,1
407,sm34214810,217.0,0.7750571160148589,1.0,280.0,0.7953828470426937,1.0,166.0,0.8589723212700172,0.0,3,0,1,3,6,1
408,sm28018250,306.0,0.5030395193902929,1.0,64.0,0.7751588370068707,1.0,169.0,0.7941800012669472,1.0,2,3,2,5,0,1
409,sm4656118,185.0,0.9781032939146772,1.0,28.0,1.0033371927835368,1.0,194.0,1.0062185471801603,0.0,2,0,2,5,3,1
410,sm11230780,96.0,0.8298820070010198,1.0,224.0,0.8332740784876478,1.0,453.0,0.8711651858858986,1.0,0,5,0,2,3,1
411,sm29837060,440.0,1.0021499632267623,1.0,382.0,1.006256033535519,1.0,362.0,1.0189801651414625,1.0,0,4,3,3,0,1
412,sm11982230,491.0,0.8497910127128523,1.0,134.0,0.9842206928033728,1.0,385.0,1.0174188900840166,1.0,1,2,3,2,3,1
413,sm24022090,137.0,0.6718085373256117,1.0,212.0,0.792805584285038,1.0,245.0,0.8142361451736463,1.0,0,5,1,2,2,1
414,sm12798100,116.0,0.9167829457232476,1.0,29.0,0.9627414307919518,1.0,438.0,0.9688352684319598,0.0,0,7,0,2,1,1
415,sm22735360,314.0,0.7982865841469954,1.0,187.0,0.8355957938502028,1.0,450.0,0.859971046493726,1.0,0,7,0,0,3,1
416,sm6395940,359.0,0.6664399495948634,1.0,160.0,0.7666020835163768,1.0,127.0,0.83567536652106,1.0,1,3,4,2,1,1
417,sm4236176,30.0,0.7050534441477947,1.0,499.0,0.7216167874982018,1.0,487.0,0.8882601494772167,1.0,1,3,5,2,0,1
418,sm13673650,241.0,0.9090000510783192,1.0,60.0,0.9109494327900892,1.0,47.0,0.9297549970529996,1.0,0,5,1,2,2,1
419,sm26865130,191.0,1.0253343039189813,1.0,151.0,1.0275078215990308,0.0,253.0,1.068300877711052,0.0,1,2,7,0,1,1
420,sm26396960,368.0,0.8552608379716552,1.0,224.0,0.8553155709540258,1.0,271.0,0.883871036850979,1.0,0,6,2,2,0,1
421,sm9809880,426.0,0.7494730066994439,1.0,383.0,0.8498491827646902,1.0,461.0,0.8957943076758564,1.0,3,1,3,2,4,1
422,sm17629610,97.0,0.9756914358629292,1.0,263.0,1.0127566231297485,0.0,131.0,1.0840843720623388,0.0,2,4,1,5,0,1
423,sm11970630,147.0,0.8086354093644976,1.0,351.0,0.8242723649369896,1.0,123.0,0.8657737335548092,1.0,2,3,1,5,1,1
424,sm16098496,13.0,0.9923123307083676,0.0,181.0,0.9977985372895316,1.0,133.0,1.007242333295261,1.0,0,0,0,0,0,0
425,sm17426140,299.0,0.8487978597768246,1.0,368.0,0.8597550952159759,1.0,271.0,0.909111801526492,1.0,0,7,0,1,2,1
426,sm19870840,383.0,0.7105028866339353,1.0,421.0,0.7494730066994439,1.0,100.0,0.9224048205533254,1.0,3,0,2,0,8,1
427,sm26882240,268.0,0.8370267933435328,1.0,121.0,0.8830776709542294,1.0,272.0,0.9665353830855232,0.0,0,5,0,1,4,1
428,sm20825700,296.0,0.6558697191513239,1.0,245.0,0.897550996152247,1.0,52.0,0.9018569812568792,1.0,0,7,1,2,0,1
429,sm27561590,373.0,0.6232125696526796,1.0,35.0,0.675364353793113,1.0,279.0,0.7131665893574636,1.0,0,0,0,0,0,0
430,sm21564830,410.0,0.9189887738793548,1.0,72.0,0.9445495707707336,1.0,224.0,0.9536182103674798,1.0,0,5,0,2,3,1
431,sm15878480,294.0,1.000408140378165,1.0,173.0,1.024702037447571,1.0,91.0,1.0511068328282758,1.0,1,2,6,2,0,1
432,sm20503130,134.0,0.8540391821231782,1.0,330.0,0.8715071739777652,1.0,323.0,0.8779007371210961,0.0,0,5,2,3,0,1
433,sm29133780,85.0,0.7664166870699723,1.0,190.0,0.8315607798637549,1.0,177.0,0.9925591668431698,1.0,2,3,1,4,2,1
434,sm19553310,359.0,0.6183214871176437,1.0,416.0,0.8517711032345553,1.0,160.0,0.8521567322559882,1.0,1,4,5,1,0,1
435,sm29365377,218.0,0.8036135612260322,1.0,458.0,0.8211144774992275,1.0,474.0,0.9110518058083024,1.0,0,0,0,0,0,0
436,sm27587710,243.0,0.6555299016909012,1.0,334.0,0.7205549959752107,1.0,35.0,0.7898144690213903,1.0,0,6,3,0,1,1
437,sm17619510,309.0,0.8021944404377375,1.0,100.0,0.8182205690635687,1.0,114.0,0.8275897868241295,1.0,1,3,5,2,0,1
438,sm20810930,39.0,0.8481002661897216,1.0,134.0,0.8482146061939725,1.0,114.0,0.901569131716808,1.0,3,4,0,0,6,1
439,sm16785026,155.0,0.7633955287934275,1.0,53.0,0.836924373205176,1.0,33.0,0.9482572349984084,1.0,0,4,3,2,1,1
440,sm29662026,22.0,0.8050959779994558,1.0,362.0,0.8099012130028318,1.0,382.0,0.8160956145706676,1.0,2,2,2,5,1,1
441,sm25187377,485.0,0.727311585967602,1.0,82.0,0.7460738817878518,1.0,248.0,0.795845352083203,1.0,0,0,0,0,0,0
442,sm24230880,46.0,0.9836695662294624,1.0,254.0,1.0552860081128768,1.0,414.0,1.0553756898309206,1.0,0,5,0,2,3,1
443,sm21399840,486.0,0.8914590619064159,1.0,209.0,0.9023293775722124,1.0,352.0,0.9043759812865938,1.0,2,1,3,6,0,1
444,sm5733940,350.0,0.9580820038839892,1.0,10.0,0.9647812870178748,1.0,387.0,0.9720278040448196,1.0,2,2,1,5,2,1
445,sm3758450,2.0,0.8234258747036542,1.0,448.0,0.8287849035770672,1.0,406.0,0.9480630404709166,0.0,1,1,4,1,4,1
446,sm23510280,145.0,0.9906975897920174,1.0,482.0,0.993872014572602,0.0,451.0,1.0050410716514817,1.0,3,3,0,2,5,1
447,sm27185070,169.0,0.6814376501480822,1.0,489.0,0.6920579789212121,1.0,320.0,0.7336033192614413,1.0,0,7,0,2,1,1
448,sm5483070,2.0,0.550826868539974,1.0,445.0,0.8287849035770672,1.0,252.0,0.8291588553821578,1.0,3,1,1,2,6,1
449,sm12433660,365.0,0.8955524944438908,1.0,90.0,0.936952455860313,1.0,105.0,1.0105199545103187,0.0,0,0,0,0,0,0
450,sm26336520,314.0,0.6175770831442293,1.0,57.0,0.662656422145456,1.0,104.0,0.8149664095664885,1.0,0,6,0,2,2,1
451,sm25139160,137.0,0.6995313025708971,1.0,66.0,0.7412232851951428,1.0,376.0,0.7723275443100686,1.0,0,7,0,1,2,1
452,sm1697040,290.0,0.6338802112658717,1.0,217.0,0.9268366854099488,1.0,19.0,0.9438761344188454,1.0,0,6,3,1,0,1
453,sm11613020,410.0,0.8711651858858986,1.0,224.0,0.9248503506960724,1.0,425.0,0.9411430789593628,1.0,3,2,0,1,7,1
454,sm19881130,79.0,1.066682605126258,0.0,144.0,1.070390414364888,0.0,140.0,1.0788618694498555,1.0,1,4,5,1,0,1
455,sm38368400,308.0,0.8154119833372371,1.0,139.0,0.9890213896841202,0.0,202.0,1.0040647253049837,0.0,0,0,0,0,0,0
456,sm3430740,132.0,0.9056641066753564,1.0,125.0,0.9887956995877089,1.0,178.0,0.9987290844340874,1.0,1,4,6,0,0,1
457,sm18991041,406.0,0.851392369752118,1.0,59.0,0.8593841653091859,1.0,206.0,0.8666198712363127,1.0,1,2,4,2,2,1
458,sm28698420,218.0,0.4544269180107434,1.0,298.0,0.7811717781213664,1.0,435.0,0.8211144774992275,1.0,1,4,6,0,0,1
459,sm20571480,494.0,0.8278147962351384,1.0,388.0,0.8562816867906876,1.0,61.0,0.9352490021687964,1.0,2,3,0,5,2,1
460,sm24548980,211.0,0.8294383506571017,1.0,110.0,0.9083139969138696,1.0,272.0,0.936964650935854,0.0,0,6,0,2,2,1
461,sm25872280,134.0,0.8083402518869606,1.0,326.0,0.827173407239201,1.0,437.0,0.8310322357043286,1.0,1,0,5,1,4,1
462,sm4310110,209.0,0.8501514430699695,1.0,125.0,0.9551632526816626,1.0,443.0,0.9775517208581186,1.0,2,2,3,4,1,1
463,sm34351020,168.0,0.830212390864432,0.0,327.0,0.8597830217282634,1.0,238.0,0.8703354398743627,0.0,2,2,3,5,0,1
464,sm4030410,27.0,1.0856766640613906,0.0,17.0,1.0867443096006242,0.0,43.0,1.0904213453797575,0.0,0,7,1,2,0,1
465,sm22644540,52.0,0.6881795488502224,1.0,212.0,0.7068087583932096,1.0,358.0,0.7544564451052218,1.0,0,8,0,2,0,1
466,sm35840490,219.0,1.0107907045525313,1.0,51.0,1.022324312207928,1.0,248.0,1.076287252621542,0.0,2,0,2,7,1,1
